NAME	FRAME	DURATION
Frame_0	0	2211.4
Frame_1	1	2129.6
Frame_10	10	2127.47
Frame_11	11	2221.44
Frame_12	12	2133.72
Frame_13	13	2159.29
Frame_14	14	2163.78
Frame_15	15	2158.29
Frame_16	16	2163.52
Frame_17	17	2176.61
Frame_18	18	2157.15
Frame_19	19	2169.94
Frame_2	2	2047.36
Frame_20	20	2131.11
Frame_21	21	2170.56
Frame_22	22	2211.54
Frame_23	23	2189.78
Frame_24	24	2282.09
Frame_25	25	2229.35
Frame_26	26	2218.04
Frame_27	27	2283.67
Frame_28	28	2272.63
Frame_29	29	2275.1
Frame_3	3	2067.2
Frame_30	30	2323
Frame_31	31	2325.45
Frame_32	32	2342.65
Frame_33	33	2382.6
Frame_34	34	2395.94
Frame_35	35	2518.14
Frame_36	36	2471.15
Frame_37	37	2526.66
Frame_38	38	2473.91
Frame_39	39	2489.35
Frame_4	4	2138.39
Frame_40	40	2563.48
Frame_41	41	2549.68
Frame_42	42	2587.88
Frame_43	43	2570.75
Frame_44	44	2622.91
Frame_45	45	2631.77
Frame_46	46	2662.26
Frame_47	47	2722.07
Frame_48	48	2722.91
Frame_49	49	2859.25
Frame_5	5	2149.07
Frame_50	50	2742.78
Frame_51	51	2734.68
Frame_52	52	2831.34
Frame_53	53	2775.4
Frame_54	54	2777.49
Frame_55	55	2785.16
Frame_56	56	2807.17
Frame_57	57	2775.84
Frame_58	58	2788.63
Frame_59	59	2850.34
Frame_6	6	2227.47
Frame_60	60	2781.02
Frame_61	61	2878.48
Frame_62	62	2785.45
Frame_63	63	2772.26
Frame_64	64	2798.78
Frame_65	65	2771.72
Frame_66	66	2792.19
Frame_67	67	2771.23
Frame_68	68	2773.95
Frame_69	69	2763.76
Frame_7	7	2078.79
Frame_70	70	2783.07
Frame_71	71	2839.48
Frame_72	72	2786.32
Frame_73	73	2860.94
Frame_74	74	2768.17
Frame_75	75	2787.81
Frame_76	76	2760.51
Frame_77	77	2789.82
Frame_78	78	2765.47
Frame_79	79	2777.8
Frame_8	8	2114.65
Frame_80	80	2760.29
Frame_81	81	2781.13
Frame_82	82	2751.3
Frame_83	83	2870.89
Frame_84	84	2968.33
Frame_85	85	2847.1
Frame_86	86	2824.61
Frame_87	87	2836.92
Frame_88	88	2856.32
Frame_89	89	2826.11
Frame_9	9	2185.37
Frame_90	90	2905.9
Frame_91	91	2898.55
Frame_92	92	2904.24
Frame_93	93	2870.87
Frame_94	94	2930.96
Frame_95	95	2901.28
Frame_96	96	3000.34
Frame_97	97	2909.96
Frame_98	98	2897.98
Frame_99	99	2914.41
